squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
75523,3,0,1,63,9373,3,8,2005,0,1,4313,9005,1813,0,94,7559081.5
80771,39,1,1,98,39381,8,6,2015,1,0,3653,2436,5240,1,14,8085989.5
55712,58,0,1,19,34457,6,8,2021,0,0,2937,8852,5008,1,68,5574642.1
32316,47,0,0,6,27939,10,4,2012,0,1,659,7141,2639,0,9,3232561.2
70429,19,1,1,90,38045,3,7,1990,1,0,8435,2429,7619,1,38,7055052
39223,36,0,1,17,39489,8,6,2012,0,1,2009,4552,5076,0,54,3926647.2
58682,10,1,1,99,6450,10,9,1995,1,1,5930,9453,6793,0,0,5876376.5
86929,100,1,0,11,98155,3,4,2003,1,0,6326,4748,2619,0,20,8696869.3
51522,3,0,0,61,9047,8,3,2012,1,1,632,5792,8940,1,11,5154055.2
39686,42,0,0,15,71019,5,8,2021,1,1,5198,5342,7199,1,3,3970892.1
23563,21,0,1,90,91058,6,8,1993,1,0,703,852,7602,1,79,2366397.3
96470,74,1,0,21,92029,4,2,2011,1,1,5414,1172,3100,1,69,9652258.1
19127,31,1,0,5,7475,2,9,2008,0,0,5387,4430,4828,0,22,1914688.8
13087,44,1,0,77,40475,8,4,2004,1,0,1745,724,3248,0,89,1320803.4
79770,3,0,1,69,54812,10,5,2018,0,1,8871,7117,3502,0,67,7986665.8
75985,60,1,0,67,6517,6,9,2009,1,1,4878,281,8152,1,39,7607322.9
64169,88,0,1,6,61711,3,9,2011,1,1,3054,129,6725,0,50,6420823.1
99371,31,1,1,16,96297,7,8,2013,1,1,3258,6296,4474,1,13,9944705.3
25966,37,1,1,17,22818,3,1,2016,0,0,8257,2557,1735,0,98,2604486.6
41792,43,1,1,10,80768,9,5,2017,1,1,2950,9573,8449,1,45,4187667.7
28795,64,1,1,50,97667,3,4,2009,1,1,9862,2666,1707,1,4,2888047.9
92383,12,0,0,78,71982,3,7,2000,0,0,7507,9056,6573,1,94,9244344
33279,64,1,0,65,91690,3,2,2019,1,1,2427,717,6476,0,24,3333351.9
34782,47,0,0,73,35331,1,4,2020,0,1,9586,6604,3838,0,96,3482594
13386,51,0,0,90,87978,4,6,1993,0,0,2885,1149,4789,1,68,1342509.3
20883,56,0,0,54,85377,5,9,2018,0,0,9982,8142,8797,1,11,2091505.8
95121,46,0,1,3,9382,7,9,1994,0,0,615,1221,8384,0,90,9515440.4
6071,72,1,0,14,8410,2,6,2003,1,1,3306,3635,5864,0,43,612471.3
11844,43,0,0,55,46144,6,5,1993,1,0,5292,8233,5192,0,64,1189939.3
52078,7,1,1,73,20372,10,4,2016,1,1,1864,2049,1400,0,77,5217708.6
25897,98,1,0,92,20344,2,4,1993,0,1,9799,9569,9993,1,14,2598763.3
85443,40,1,1,54,339,3,1,2021,1,0,3056,8928,4532,1,50,8555234.1
11412,78,0,0,79,73807,1,5,2009,1,1,6899,8997,5421,0,39,1145642.9
97550,89,1,1,98,78155,2,5,2014,1,0,5391,897,8624,0,73,9765099.4
76485,47,1,0,9,90254,2,9,2008,1,0,2860,3129,5225,0,96,7653300.8
26169,29,0,0,62,66489,9,7,1993,0,1,7918,187,6269,1,62,2622399.3
24239,87,1,0,91,73056,4,7,1998,0,0,6656,7149,8789,0,56,2427801.8
36239,8,0,1,24,66771,7,6,1990,0,1,6679,6528,2306,1,91,3627708
10500,88,0,1,49,10533,10,1,2013,1,1,4170,5501,1472,0,19,1057021.3
87060,27,0,1,91,51803,8,10,2000,0,0,6629,435,9155,0,17,8711426
66683,19,1,1,6,50801,6,2,2001,0,0,7473,796,3797,1,20,6677649.1
66569,59,1,1,56,15574,7,9,2016,1,1,2020,7188,8219,1,2,6667802.6
84559,29,0,1,69,53057,7,7,2000,1,0,3573,9556,7517,1,10,8460604
28749,39,0,1,53,80821,6,5,1996,1,0,8113,2352,1839,1,19,2877997.6
76091,38,1,0,32,59451,5,8,2016,1,0,8150,6037,4780,0,49,7614076.6
92696,49,1,0,38,74381,9,2,2021,0,0,1559,5111,9769,1,70,9272740.1
46988,66,1,1,27,4863,9,10,1991,1,1,8339,6331,7523,1,55,4707341.1
48062,22,0,1,4,28104,1,10,2008,1,0,7908,552,2551,1,58,4809993.8
